codigo_estacion,nombre,latitud,longitud
04313003,Cochiguaz,-30.1414,-70.4047
04314002,Rio Claro En Rivadavia,-29.9781,-70.5525
04314003,Monte Grande,-30.0894,-70.4939
04320001,Rio Elqui En Algarrobal,-29.9953,-70.5867
04320003,Vicua (Inia),-30.0567,-70.7167
04323007,Almendral,-29.9822,-70.9186
04335002,La Serena (Escuela Agricola),-29.9061,-71.2556
04501001,Rio Hurtado En San Agustin,-30.4622,-70.5361
04501003,Pabellon,-30.4111,-70.5544
04502005,Hurtado,-30.2867,-70.6961
04503001,Rio Hurtado En Angostura De Pangue,-30.4386,-71.0022
04503003,Pichasca,-30.3922,-70.8678
04506007,Recoleta Embalse,-30.5069,-71.0997
04511002,Rio Grande En Las Ramadas,-31.0117,-70.5811
04511003,Las Ramadas,-31.0181,-70.5858
04512002,Tascadero,-31.0153,-70.6664
04513001,Rio Grande En Cuyano,-30.9242,-70.7731
04513003,Tulahuen,-30.9669,-70.7639
04513004,Caren,-30.8547,-70.7708
04522003,Rapel,-30.7211,-70.7753
04523002,Rio Grande En Puntilla San Juan,-30.7047,-70.9244
04530001,Rio Cogoti En Fraguita,-31.1119,-70.885
04531002,Rio Cogoti Entrada Embalse Cogoti,-31.0325,-71.0403
04531003,Cogoti 18,-31.0836,-70.95
04532006,Combarbala,-31.1736,-71.0008
04535001,Cogoti Embalse,-31.0078,-71.0856
04537003,El Tome,-30.8178,-70.9706
04540005,Sotaqui,-30.6306,-71.1194
04540006,Paloma Embalse,-30.6958,-71.0361
04551005,Ovalle Dga,-30.6006,-71.2
04552002,La Torre,-30.6164,-71.3742
04554003,La Placilla,-30.8883,-71.3075
04555001,Punitaqui,-30.8278,-71.25
04610001,Pea Blanca,-30.9,-71.5503
04703002,Rio Choapa En Cuncumen,-31.9667,-70.5944
04703003,Cuncumen,-31.9336,-70.6133
04704001,Rio Cuncumen Antes Junta Choapa (Chacay),-31.8167,-70.6
04710001,La Tranquilla,-31.9,-70.6706
04711001,Rio Choapa En Salamanca,-31.8117,-70.9303
04711003,Coiron,-31.9019,-70.7708
04711004,Salamanca,-31.7758,-70.9669
04712001,Rio Chalinga En La Palmilla,-31.6958,-70.7158
04713004,San Agustin,-31.7289,-70.8317
04716005,Limahuida,-31.745,-71.1619
04721001,Rio Illapel En Las Burras,-31.5069,-70.8125
04721002,Las Burras,-31.5331,-70.8211
04723001,Rio Illapel En Huintil,-31.5608,-70.9644
04723002,Huintil,-31.5669,-70.9817
04726001,Rio Illapel En El Peral,-31.6647,-71.2547
04726003,Illapel Dga,-31.645,-71.1908
04730004,Mincha Norte,-31.5875,-71.4453
04732001,La Canela Dmc,-31.3986,-71.4569
04810001,Estero Pupio En El Romero,-31.9481,-71.0747
04810003,Caimanes,-31.9322,-71.1361
04820001,Los Vilos Dmc,-31.9103,-71.5086
04900002,Culimo Embalse,-32.0675,-71.2225
04900003,Quelon,-32.1444,-71.1628
04902002,Los Condores,-32.1086,-71.3125
04902003,Quilimari,-32.1175,-71.5
05100001,Rio Sobrante En Piadero,-32.2253,-70.7119
05100005,El Trapiche,-32.2286,-70.71
05100006,El Sobrante Hacienda,-32.2261,-70.7839
05101005,Pedernal Hacienda,-32.0836,-70.8
05101006,Chalaco,-32.1836,-70.7833
05110002,Rio Petorca En Peon O Hierro Viejo,-32.2786,-70.9889
05110003,Hierro Viejo,-32.2756,-70.9997
05111001,Palquico,-32.2528,-71.1386
05111002,Frutillar Alto,-32.1567,-71.03
05111004,El Salvador,-32.3058,-71.0792
05120003,Artificio,-32.3914,-71.0931
05120004,Las Colmenas,-32.3075,-71.2425
05120006,Longotoma,-32.3919,-71.375
05200001,Rio Alicahue En Colliguay,-32.33,-70.7381
05200006,Alicahue,-32.3408,-70.7528
05200007,La Mostaza,-32.4186,-70.6808
05210002,La Via,-32.4261,-70.9167
05211003,Mina Cerro Negro,-32.5864,-70.8694
05211004,Las Puertas,-32.4856,-70.9319
05220006,Chacrilla,-32.4267,-71.0606
05220007,Las Pataguas,-32.5333,-71.1294
05221005,Valle Hermoso,-32.4372,-71.2067
05310001,Laguna De Zapallar,-32.5919,-71.4322
05320001,Estero Quintero En Valle Alegre,-32.7936,-71.4161
05401003,Rio Juncal En Juncal,-32.8625,-70.1675
05403002,Rio Aconcagua En Rio Blanco,-32.9067,-70.3036
05403006,Riecillos,-32.9228,-70.3553
05404001,Canal Colorado En Bocatoma,-32.8347,-70.3533
05410002,Rio Aconcagua En Chacabuquito,-32.8503,-70.5094
05410005,Rio Aconcagua En San Felipe,-32.7572,-70.7367
05410006,Vilcuya,-32.8603,-70.4719
05410007,Los Andes,-32.8336,-70.6
05410008,San Felipe,-32.7472,-70.7247
05411001,Estero Pocuro En El Sifon,-32.9164,-70.5403
05414001,Rio Putaendo En Resguardo Los Patos,-32.5017,-70.5811
05414004,Resguardo Los Patos,-32.4989,-70.5789
05414005,El Tartaro,-32.5669,-70.7
05415004,Jahuel,-32.6836,-70.6
05421005,Catemu,-32.7344,-70.9342
05422002,Las Chilcas,-32.9319,-70.8178
05423003,Rio Aconcagua En Romeral,-32.8403,-71.0256
05423013,Estero Rabuco,-32.8506,-71.1167
05424005,El Cobre,-32.6531,-71.1964
05425003,Lo Rojas,-32.8119,-71.2653
