codigo_estacion;nombre;latitud;longitud;comuna;provincia;region;pais
02103009;Ojos San Pedro;-21.9706;-68.3128;Calama;El Loa;Antofagasta;Chile
02103010;Inacaliri;-22.0278;-68.0661;Calama;El Loa;Antofagasta;Chile
02103012;Silala;-22.0139;-68.0289;Calama;El Loa;Antofagasta;Chile
02103014;Rio Siloli Antes B.T. Fcab;-22.0103;-68.0269;;;;
02104002;Rio Loa En Salida Embalse Conchi;-22.0278;-68.6208;Calama;El Loa;Antofagasta;Chile
02104007;Conchi Viejo;-21.95;-68.7239;Calama;El Loa;Antofagasta;Chile
02104008;Conchi Embalse;-22.025;-68.6242;Calama;El Loa;Antofagasta;Chile
02104010;Chiu-Chiu;-22.3378;-68.6367;Calama;El Loa;Antofagasta;Chile
02105002;Rio Salado En Sifon Ayquina;-22.2894;-68.3447;Calama;El Loa;Antofagasta;Chile
02105014;Cupo;-22.1147;-68.3167;Calama;El Loa;Antofagasta;Chile
02105016;Linzor;-22.2297;-68.0228;Calama;El Loa;Antofagasta;Chile
02105017;Toconce;-22.2592;-68.1733;Calama;El Loa;Antofagasta;Chile
02105018;Ayquina;-22.2753;-68.3183;Calama;El Loa;Antofagasta;Chile
02105020;Salado Embalse;-22.2856;-68.2028;Calama;El Loa;Antofagasta;Chile
02105022;El Tatio;-22.3711;-68.0133;Calama;El Loa;Antofagasta;Chile
02110013;Calama;-22.4494;-68.9044;Calama;El Loa;Antofagasta;Chile
02112008;Quillagua;-21.6603;-69.5358;Maria Elena;Tocopilla Province;Antofagasta;Chile
02113001;Rio Huatacondo En Copaquire;-20.9333;-68.8833;Pica;Tamarugal;Tarapacá;Chile
02113005;Guatacondo Dga;-20.9272;-69.0456;Pozo Almonte;Tamarugal;Tarapacá;Chile
02210002;Tocopilla;-22.0797;-70.1897;Tocopilla;Tocopilla;Antofagasta;Chile
02240001;Escuela FundaciÓN Minera Escondida;-23.6144;-70.3703;Antofagasta;Antofagasta Province;Antofagasta;Chile
02500017;Camar;-23.4069;-67.9631;San Pedro de Atacama;El Loa;Antofagasta;Chile
02500019;Socaire;-23.5869;-67.8925;San Pedro de Atacama;El Loa;Antofagasta;Chile
02500020;Peine;-23.6842;-68.0581;San Pedro de Atacama;El Loa;Antofagasta;Chile
02500021;Talabre;-23.3125;-67.8878;San Pedro de Atacama;El Loa;Antofagasta;Chile
02510006;San Pedro De Atacama;-22.9053;-68.2003;San Pedro de Atacama;El Loa;Antofagasta;Chile
02510007;Rio Grande;-22.6522;-68.1658;San Pedro de Atacama;El Loa;Antofagasta;Chile
02700001;Sierra Gorda;-22.8892;-69.3219;Sierra Gorda;Antofagasta Province;Antofagasta;Chile
02710002;Baquedano;-23.3336;-69.8397;Sierra Gorda;Antofagasta;Antofagasta;Chile
02710003;Antofagasta;-23.5975;-70.3867;Antofagasta;Antofagasta;Antofagasta;Chile
02900000;Universidad De Antofagasta;-23.7017;-70.4208;Antofagasta;Antofagasta;Antofagasta;Chile
02942001;Aguas Verdes;-25.4;-69.9633;Taltal;Antofagasta;Antofagasta;Chile
02943002;Tal-Tal (Dcp);-25.4033;-70.4797;Taltal;Antofagasta;Antofagasta;Chile
03210001;Las Vegas;-26.6781;-69.6656;Diego de Almagro;Chañaral;Atacama;Chile
